,Belgium,Bulgaria,Czech Republic,Denmark,Germany,Estonia,Ireland,Greece,Spain,France,Croatia,Italy,Cyprus,Latvia,Lithuania,Luxembourg,Hungary,Malta,Netherlands,Austria,Poland,Portugal,Romania,Slovenia,Slovakia,Finland,Sweden,United Kingdom,Iceland,Norway,Turkey,United States,Japan
1983M01,,,,229.794,,,,,29.623,88.414,,,,,,,,,147.14,,,,,,,,246.96,1537.655,,180.78,,1537.655,509.947
1983M02,,,,255.971,,,,,29.288,91.784,,,,,,,,,151.469,,,,,,,,296.133,1670.836,,197.563,,1670.836,517.701
1983M03,,,,289.808,,,,,30.973,94.658,,,,,,,,,174.572,,,,,,,,295.921,1604.026,,204.281,,1604.026,537.813
1983M04,,,,293.801,,,,,30.607,98.088,,,,,,,,,179.47,,,,,,,,341.292,1548.766,,248.685,,1548.766,548.556
1983M05,,,,292.507,,,,,32.318,99.296,,,,,,,,,173.838,,,,,,,,337.03,1624.286,,246.372,,1624.286,549.162
1983M06,,,,312.225,,,,,30.481,97.37,,,,,,,,,190.337,,,,,,,,315.705,1590.006,,252.904,,1590.006,565.972
1983M07,,,,311.263,,,,,29.449,96.303,,,,,,,,,187.714,,,,,,,,339.34,1657.494,,277.943,,1657.494,569.994
1983M08,,,,345.313,,,,,27.197,98.987,,,,,,,,,185.82,,,,,,,,341.871,1616.071,,277.59,,1616.071,562.323
1983M09,,,,375.418,,,,,28.055,103.789,,,,,,,,,190.708,,,,,,,,334.666,1609.883,,287.458,,1609.883,606.039
1983M10,,,,365.563,,,,,29.534,103.307,,,,,,,,,181.691,,,,,,,,325.047,1622.175,,270.59,,1622.175,602.409
1983M11,,,,361.946,,,,,29.199,107.334,,,,,,,,,186.199,,,,,,,,338.008,1588.681,,277.248,,1588.681,609.169
1983M12,,,,374.424,,,,,26.093,109.831,,,,,,,,,190.698,,,,,,,,321.373,1634.927,,285.142,,1634.927,655.431
1984M01,,,,365.232,,,,,28.333,115.651,,,,,,,,,212.87,,,,,,,,346.294,1654.12,,317.797,,1654.12,685.438
1984M02,,,,339.048,,,,,32.593,118.159,,,,,,,,,214.63,,,,,,,,349.36,1748.966,,332.058,,1748.966,682.715
1984M03,,,,319.132,,,,,33.459,119.841,,,,,,,,,216.844,,,,,,,,363.685,1790.099,,346.28,,1790.099,805.204
1984M04,,,,332.038,,,,,32.006,126.312,,,,,,,,,207.545,,,,,,,,335.948,1922.399,,365.952,,1922.399,786.951
1984M05,,,,290.343,,,,,32.477,121.505,,,,,,,,,196.879,,,,,,,,299.665,2077.919,,352.117,,2077.919,689.535
1984M06,,,,291.708,,,,,32.881,117.97,,,,,,,,,197.48,,,,,,,,306.664,2107.767,,296.025,,2107.767,692.092
1984M07,,,,285.738,,,,,34.272,105.177,,,,,,,,,177.733,,,,,,,,304.57,1910.667,,288.203,,1910.667,642.573
1984M08,,,,282.758,,,,,34.706,116.097,,,,,,,,,204.287,,,,,,,,299.132,2105.049,,320.623,,2105.049,697.01
1984M09,,,,247.045,,,,,35.802,114.758,,,,,,,,,211.281,,,,,,,,278.837,2090.893,,294.062,,2090.893,693.37
1984M10,,,,238.268,,,,,34.216,116.485,,,,,,,,,208.114,,,,,,,,270.811,2155.115,,299.742,,2155.115,726.904
1984M11,,,,238.284,,,,,34.127,113.753,,,,,,,,,202.09,,,,,,,,252.825,2274.205,,282.052,,2274.205,731.173
1984M12,,,,236.749,,,,,33.215,112.025,,,,,,,,,202.815,,,,,,,,247.219,2359.569,,278.352,,2359.569,758.51
1985M01,,,,255.809,,,,,39.092,118.241,,,,,,,,,219.356,,,,,,,,269.038,2582.194,,315.983,,2582.194,754.042
1985M02,,,,241.328,,,,,36.063,114.893,,,,,,,,,215.694,,,,,,,,249.601,2636.356,,293.215,,2636.356,778.087
1985M03,,,,259.397,,,,,38.752,128.946,,,,,,,,,231.171,,,,,,,,257.795,2620.984,,296.106,,2620.984,821.808
1985M04,,,,261.365,,,,,37.572,131.829,,,,,,,,,238.702,,,,,,,,261.375,2731.565,,318.936,,2731.565,793.077
1985M05,,,,272.016,,,,,37.611,142.721,,,,,,,,,232.661,,,,,,,,250.241,2730.35,,325.691,,2730.35,820.087
1985M06,,,,286.189,,,,,36.65,138.363,,,,,,,,,238.676,,,,,,,,246.65,2928.258,,308.465,,2928.258,856.433
1985M07,,,,329.534,,,,,39.736,141.178,,,,,,,,,259.611,,,,,,,,272.392,2467.86,,354.211,,2467.86,860.062
1985M08,,,,312.098,,,,,39.221,147.167,,,,,,,,,261.687,,,,,,,,267.172,2251.898,,354.978,,2251.898,880.046
1985M09,,,,323.797,,,,,39.749,145.344,,,,,,,,,263.273,,,,,,,,279.818,2576.739,,385.134,,2576.739,972.687
1985M10,,,,347.93,,,,,43.406,157.051,,,,,,,,,278.906,,,,,,,,303.446,2702.007,,445.243,,2702.007,1002.606
1985M11,,,,346.859,,,,,46.781,182.353,,,,,,,,,299.35,,,,,,,,351.96,2787.597,,468.647,,2787.597,1016.762
1985M12,,,,373.649,,,,,48.061,199.903,,,,,,,,,312.834,,,,,,,,380.222,2720.394,,457.438,,2720.394,1076.096
1986M01,,,,349.421,,,,,52.926,217.208,,,,,,,,,311.102,,,,,,,,384.76,2629.952,,445.272,,2629.952,1105.053
1986M02,,,,385.635,,,,,66.724,256.054,,,,,,,,,324.504,,,,,,,,430.423,2598.769,,455.039,,2598.769,1237.306
1986M03,,,,377.561,,,,,80.144,280.876,,,,,,,,,342.7,,,,,,,,479.136,2590.106,,430.202,,2590.106,1501.887
1986M04,,,,405.421,,,,,91.208,315.521,,,,,,,,,366.044,,,,,,,,533.656,2457.376,,424.369,,2457.376,1558.089
1986M05,,,,356.794,,,,,86.432,272.768,,,,,,,,,357.927,,,,,,,,540.746,2415.279,,405.236,,2415.279,1546.893
1986M06,,,,363.335,,,,,85.13,288.428,,,,,,,,,374.844,,,,,,,,569.659,2508.581,,442.07,,2508.581,1703.042
1986M07,,,,348.806,,,,,87.876,320.32,,,,,,,,,373.576,,,,,,,,593.237,2503.82,,398.507,,2503.82,1927.184
1986M08,,,,354.178,,,,,99.302,354.074,,,,,,,,,417.601,,,,,,,,607.087,2495.997,,451.888,,2495.997,2101.377
1986M09,,,,356.236,,,,,100.179,326.598,,,,,,,,,402.735,,,,,,,,596.738,2539.61,,441.892,,2539.61,2152.775
1986M10,,,,354.996,,,,,89.198,325.865,,,,,,,,,389.804,,,,,,,,623.478,2518.337,,440.947,,2518.337,1864.62
1986M11,,,,363.839,,,,,95.651,349.953,,,,,,,,,420.624,,,,,,,,615.355,2569.874,,450.641,,2569.874,1987.273
1986M12,376.01,,,372.201,,,,,102.259,351.796,,,,,,,,,424.954,,,,,,,,619.794,2285.786,,433.592,,2285.786,2132.274
1987M01,395.834,,,450.671,,,,,115.293,389.623,,,,,,,,,444.798,,,,,,,,562.984,2233.198,,468.088,,2233.198,2474.21
1987M02,410.861,,,414.154,,,,,117.336,397.482,,,,,,,,,443.771,,,,,,,,652.535,2411.897,,496.864,,2411.897,2517.547
1987M03,432.597,,,412.268,,,,,108.193,421.068,,,,,,,,,490.269,,,,,,,,687.225,2327.45,,540.935,,2327.45,2792.271
1987M04,460.149,,,415.981,,,,,107.09,423.381,,,,,,,,,492.078,,,,,,,,740.648,2453.48,,578.475,,2453.48,3230.463
1987M05,438.294,,,421.037,,,,,109.287,399.333,,,,,,,,,504.464,,,,,,,,698.329,2545.787,,575.036,,2545.787,3223.484
1987M06,458.567,,,422.792,,,,,117.501,374.105,,,,,,,,,540.892,,,,,,,,708.371,2551.939,,590.854,,2551.939,2983.666
1987M07,490.825,,,415.193,,,,,136.368,382.101,,,,,,,,,559.54,,,,,,,,754.13,2492.612,,658.788,,2492.612,2878.152
1987M08,508.663,,,441.913,,,,,152.077,401.379,,,,,,,,,559.331,,,,,,,,783.694,2353.427,,730.132,,2353.427,3235.741
1987M09,480.069,,,417.429,,,,,152.252,375.688,,,,,,,,,539.619,,,,,,,,808.644,2371.941,,742.498,,2371.941,3120.252
1987M10,387.879,,,385.384,,,,,120.507,305.977,,,,,,,,,443.753,,,,,,,,665.778,2469.376,,534.528,,2469.376,2884.973
1987M11,382.759,,,408.692,,,,,128.254,300.885,,,,,,,,,409.62,,,,,,,,592.402,2695.262,,443.554,,2695.262,2999.023
1987M12,392.115,,,414.423,362.621,,,100,135.698,299.027,,202.131,,,,,,,439.815,,,100,,,,,622.166,2638.189,,449.346,,2638.189,3036.609
1988M01,405.998,,,413.43,317.933,,,89.103,140.141,252.995,,185.919,,,,,,,431.209,,,105.818,,,,,682.076,2463.959,,442.131,,2463.959,3198.938
1988M02,506.485,,,430.309,367.944,,,94.743,141.452,305.612,,196.601,,,,,,,447.71,,,90.17,,,,,706.638,2215.944,,478.114,,2215.944,3439.3
1988M03,524.592,,,436.742,366.967,,,104,154.168,286.822,,204.174,,,,,,,463.918,,,95.109,,,,,755.045,2260.932,,540.465,,2260.932,3697.217
1988M04,526.57,,,436.894,360.254,,,106.351,153.586,311.044,,200.29,,,,,,,474.378,,,87.39,,,,,775.557,2229.926,,559.346,,2229.926,3734.416
1988M05,500.27,,,474.459,355.439,,,98.909,155.31,331.09,,178.757,,,,,,,446.562,,,81.504,,,,,795.109,2139.881,,529.96,,2139.881,3564.444
1988M06,505.691,,,473.4,355.586,,,91.906,154.65,334.293,,186.056,,,,,,,446.994,,,76.144,,,,,755.673,2119.243,,536.709,,2119.243,3428.896
1988M07,478.017,,,468.208,358.145,,,90.556,149.339,324.597,,191.319,,,,,,,458.774,,,72.504,,,,,773.115,2111.361,,532.847,,2111.361,3584.889
1988M08,474.151,,,444.542,355.004,,,88.341,141.795,313.57,,184.427,,,,,,,436.642,,,69.542,,,,,729.013,2013.916,,476.96,,2013.916,3312.921
1988M09,517.947,,,483.018,380.718,,,90.807,141.186,343.581,,196.184,,,,,,,444.469,,,67.18,,,,,771.917,2018.412,,498.941,,2018.412,3454.393
1988M10,561.582,,,550.968,420.278,,,98.875,152.305,382.247,,219.201,,,,,,,475.945,,,73.125,,,,,840.152,2062.363,,533.206,,2062.363,3741.395
1988M11,575.468,,,577.139,417.035,,,94.4,153.006,389.271,,222.455,,,,,,,473.323,,,76.448,,,,,863.896,2103.993,,571.412,,2103.993,4072.533
1988M12,582.289,,,622.419,428.932,,,93.743,149.553,405.233,,220.943,,,,,,,484.071,,,70.514,,,,,907.688,1987.217,,628.048,,1987.217,4094.576
1989M01,581.552,,,619.193,407.847,,,84.541,148.54,408.529,,214.615,,,,,,,490.375,,,69.13,,,,100,948.223,2044.598,,708.093,,2044.598,4105.418
1989M02,566.812,,,608.484,407.711,,,85.754,143.926,399.307,,209.835,,,,,,,488.354,,,73.013,,,,95.82,978.908,2170.341,,728.555,,2170.341,4183.473
1989M03,561.577,,,613.776,399.451,,,85.299,145.562,403.13,,212.495,,,,,,,503.192,,,71.632,,,,97.668,1003.262,2222.473,,779.714,,2222.473,4036.091
1989M04,577.477,,,655.676,418.78,,,89.054,151.94,418.667,,213.802,,,,,,,524.317,,,72.462,,,,106.611,1010.285,2302.691,,844.253,,2302.691,4028.268
1989M05,554.27,,,637.637,403.392,,,97.574,145.337,405.622,,203.36,,,,,,,498.244,,,66.607,,,,107.724,995.593,2211.045,,799.8,,2211.045,3798.918
1989M06,557.011,,,731.531,433.844,,,99.372,146.486,413.694,,223.61,,,,,,,516.687,,,66.092,,,,113.951,1051.352,1945.233,,803.292,,1945.233,3627.521
1989M07,583.742,,,793.167,477.344,,,114.735,153.305,459.128,,247.082,,,,,,,562.493,,,70.341,,,,112.615,1175.263,1942.627,,831.602,,1942.627,4107.445
1989M08,569.47,,,711.72,470.714,,,125.49,156.181,455.409,,252.312,,,,,,,554.341,,,76.747,,,,111.384,1159.769,1814.86,,830.965,,1814.86,3822.82
