,AUSTRALIA,AUSTRIA,BELGIUM,CANADA,DENMARK,FINLAND,FRANCE,GERMANY,GREECE,IRELAND,ITALY,JAPAN,NETHERLANDS,NEW ZEALAND,NORWAY,PORTUGAL,SPAIN,SWEDEN,SWITZERLAND,UNITED KINGDOM,USA
,100,100,,100,100,100,100,,,,,100,100,,100,,100,100,100,100,100
,96.743,99.769,,102.195,100.202,95.82,103.671,,,,,98.135,94.277,,103.799,,103.69,95.944,97.346,99.069,92.592
,95.515,98.35,,106.475,98.297,97.668,100.642,,,,,99.057,94.798,,101.84,,108.521,89.684,95.575,93.564,97.527
,95.075,97.544,,107.304,95.519,106.611,99.325,,,,,102.793,95.802,,106.649,,104.967,92.021,95.379,95.651,97.829
,84.313,99.827,,94.786,91.589,107.724,93.254,,,,,90.061,89.534,,103.643,,96.282,82.543,86.184,85.666,89.088
,78.733,99.682,,85.524,87.684,113.951,90.563,,,,,87.377,87.087,,99.426,,91.612,76.661,83.853,81.149,83.789
,88.785,101.98,,89.558,87.419,112.615,88.219,,,,,88.687,86.835,,104.283,,94.853,81.849,84.178,84.601,80.099
,91.499,102.928,,95.705,83.824,111.384,93.105,,,,,88.586,94.13,,111.49,,96.868,88.866,87.275,87.533,85.851
,90.662,107.071,,99.774,87.926,104.593,92.483,,,,,87.343,100.126,,122.538,,96.961,83.003,90.981,87.108,89.109
,90.656,108.778,,106.006,84.603,99.812,89.657,,,,,86.037,98.168,,125.817,,93.5,80.734,86.953,91.989,91.875
,82.215,107.153,,104.251,86.313,108.294,90.75,,,,,86.845,97.912,,128.252,,96.325,72.224,85.703,91.557,90.95
,78.062,107.586,,108.918,87.196,117.241,89.764,,,,,84.039,87.781,,127.163,,96.092,78.211,82.107,85.076,95.67
,78.896,107.423,,111.571,87.686,111.873,91.298,,,,,84.422,89.167,,130.438,,93.121,77.516,84.769,90.171,100.927
,76.975,105.712,,114.963,88.315,109.856,95.686,,,,,88.749,91.176,,139.894,,99.125,82.986,92.24,90.221,105.338
,75.4,106.492,,114.483,85.748,113.029,94.843,,,,,92.537,91.13,,139.99,,99.981,86.704,92.626,88.342,106.18
,79.422,104.958,,119.253,82.565,118.917,92.773,,,,,99.89,92.017,,125.919,,96.75,89.224,97.362,95.724,110.273
,76.395,106.554,,118.655,82.439,124.52,92.489,,,,,104.778,95.939,,132.327,,97.37,86.159,100.005,106.114,114.333
,74.116,111.781,,115.137,81.247,116.403,97.258,,,,,103.75,96.939,,149.674,,99.694,88.937,96.073,109.808,109.661
,74.664,110.266,,114.167,81.191,113.126,95.143,,,,,113.393,95.561,,169.761,,99.163,89.627,100.455,111.481,110.183
,71.551,110.905,,114.115,85.059,117.606,97.59,,,,,113.646,97.008,,164.709,,102.77,89.991,102.537,118.75,106.03
,68.99,109.728,,118.35,88.275,108.26,94.62,,,,,105.824,92.356,,170.141,,105.967,90.916,103.503,120.159,110.172
,62.037,111.321,,117.027,88.617,101.614,86.343,,,,,109.023,86.725,,158.467,,104.424,88.617,99.694,120.061,108.577
,62.188,111.242,,111.116,88.195,97.747,80.492,,,,,104.432,83.271,,141.713,,107.205,92.332,92.107,116.73,104.476
,61.12,109.947,,110.504,85.564,90.663,85.727,,,,,111.398,80.898,,137.597,,106.791,98.41,101.58,119.552,104.682
,75.197,112.113,,122.988,90.237,99.323,88.876,,,,,125.416,86.292,,150.279,,113.51,101.334,105.535,128.619,111.027
,72.708,113.195,,128.424,95.279,105.886,94.38,,,,,135.098,92.523,,146.566,,118.526,105.286,114.257,135.48,113.067
,80.027,116.621,,132.477,98.405,102.753,100.28,,,,,147.084,97.17,,144.856,,122.527,104.054,119.872,143.528,116.038
,82.555,116.058,,132.462,97.453,95.154,112.388,,,,,154.375,95.204,,150.077,,127.948,111.631,122.892,143.712,117.65
,80.83,116.904,,132.848,103.105,87.485,115.123,,,,,162.135,95.294,,148.226,,133.858,113.47,122.362,148.029,117.641
,84.216,125.202,,139.779,112.392,88.515,121.586,,,,,175.51,106.081,,146.52,,139.385,108.92,131.224,144.88,117.322
,86.366,125.674,,142.301,123.169,86.789,116.565,,,,,182.196,102.822,,164.93,,142.211,109.884,121.551,131.315,115.029
,81.37,146.122,,141.562,124.836,90.566,124.157,,,,,197.434,108.641,,169.616,,145.949,112.214,129.733,138.483,114.189
,81.753,142.662,,151.026,127.693,83.759,124.831,,,,,201.994,109.2,,174.315,,151.358,116.895,133.747,139.107,118.164
,79.041,140.929,,149.878,125.571,67.802,122.799,,,,,210.842,103.219,,164.574,,149.051,115.816,132.837,123.612,118.165
,83.749,143.075,,146.48,156.144,67.429,117.505,,,,,217.308,103.848,,156.669,,159.192,114.125,131.298,123.038,119.508
,86.284,147.393,,153.045,165.307,70.196,109.436,,,,,255.671,105.392,,159.447,,156.586,117.373,126.771,131.483,123.924
,88.549,149.009,,159.023,182.572,66.268,106.616,,,,,277.376,106.644,,159.476,,155.575,114.193,132.841,129.341,125.796
,91.343,164.156,,158.436,204.754,65.295,113.825,,,,,281.705,112.083,,185.893,,166.385,118.97,138.311,120.854,122.627
,92.211,178.404,,154.759,214.835,71.803,128.655,,,,,305.088,120.984,,203.952,,185.906,126.296,149.03,122.285,116.731
,91.909,189.385,,154.792,210.329,77.472,135.636,,,,,305.443,125.784,,232.745,,197.682,122.02,145.867,121.904,115.18
,85.969,194.218,,147.843,214.331,73.122,144.551,,,,,271.227,122.868,,291.54,,203.432,124.249,138.962,123.092,110.582
,92.969,193.726,,141.767,224.992,71.029,148.494,,,,,277.834,122.223,,337.382,,190.366,131.731,152.749,126.683,108.675
,90.543,216.707,,144.386,247.175,61.853,153.946,,,,,282.356,124.082,,363.92,,194.301,137.903,160.115,125.845,108.663
,92.085,223.694,,152.071,257.853,66.687,144.321,,,,,299.083,123.832,,362.771,,198.519,139.792,148.666,116.346,112.758
,81.833,211.489,,151.361,238.443,63.413,132.794,,,,,284.534,115.833,,331.93,,201.878,128.684,141.433,109.663,108.823
,79.106,212.871,,156.081,229.434,58.258,135.551,,,,,268.81,119.02,,336.666,,214.991,128.416,148.609,111.152,112.524
,83.538,206.502,,167.3,226.839,57.14,137.523,,,,,267.037,116.729,,355.613,,212.826,131.091,150.946,114.867,112.818
,76.222,186.524,,150.805,187.492,53.974,112.465,,,,,229.948,95.45,,332.111,,188.277,114.666,128.691,97.521,100.662
,75.12,180.77,,149.275,185.937,53.059,106.393,,,,,216.875,96.444,,358.696,,190.009,113.137,124.724,91.955,102.227
,84.766,176.729,,153.615,174.831,58.22,106.206,,,,,215.756,94.605,,380.494,,199.45,115.691,128.3,87.845,100.276
,92.385,182.487,,159.19,178.419,57.122,111.559,,,,,223.683,93.664,,356.815,,205.241,125.448,125.43,93.71,99.958
,86.469,194.908,,155.099,166.142,51.715,104.028,,,,,227.06,94.232,,341.295,,201.906,136.004,131.21,78.439,97.305
,83.02,199.281,,143.675,170.404,51.78,99.118,,,,,230.05,98.169,,340.965,,215.912,141.035,130.44,84.515,93.358
,70.697,198.171,,132.153,165.904,54.475,94.441,,,,,237.969,92.71,,292.886,,209.16,128.748,113.146,75.688,90.258
,66.173,193.941,,127.193,158.455,51.343,86.739,,,,,229.203,88.856,,279.284,,212.496,125.417,116.337,68.248,88.529
,55.601,190.419,,128.857,150.515,47.474,89.572,,,,,206.064,90.677,,289.075,,213.199,129.801,120.341,63.66,81.285
,54.29,184.385,,115.787,135.471,40.859,78.34,,,,,183.031,79.013,,247.125,,197.064,116.414,105.278,54.142,73.707
,38.145,181.091,,103.589,139.469,37.86,65.925,,,,,184.666,70.522,,201.607,,171.392,113.316,95.441,47.549,64.919
,47.586,188.891,,114.503,143.436,44.214,71.318,,,,,168.931,71.328,,236.407,,169.006,122.589,103.652,49.067,76.151
,49.337,190.098,,104.242,140.692,48.019,73.339,,,,,186.102,73.276,,223.898,,181.999,117.839,105.224,41.304,72.406
,47.164,201.22,,104.553,156.918,45.425,77.587,,,,,178.192,75.418,,210.405,,168.913,121.172,105.497,42.003,70.678
,57.801,206.785,,120.451,167.094,44.747,97.922,,,,,186.817,94.209,,234.583,,171.115,134.02,131.038,65.301,79.571
,58.662,217.786,,123.35,174.866,45.883,99.838,,,,,213.682,102.547,,241.649,,179.182,147.06,138.885,82.471,84.302
,57.348,216.015,,119.45,164.884,49.997,107.003,,,,,218.63,100.687,,231.74,,169.943,143.373,135.346,75.356,86.095
,56.151,212.392,,120.878,178.706,62.218,116.406,,,,,218.804,102.979,,245.92,,177.268,148.544,141.936,86.768,89.71
,61.671,210.175,,123.042,186.146,64.247,113.169,,,,,217.357,98.204,,237.918,,168.277,144.305,139.886,89.397,93.542
,59.674,208.997,,125.757,181.176,60.71,105.746,,,,,219.39,100.66,,233.153,,160.784,150.023,138.84,75.185,97.775
,58.264,190.799,,124.352,174.041,65.273,106.057,,,,,207.773,94.156,,227.122,,152.042,142.263,131.111,71.519,90.96
