Measure,Country,Time,Value,Flags
"National currency, current prices",Australia,1970,40370,
"National currency, current prices",Australia,1971,44542,
"National currency, current prices",Australia,1972,49810,
"National currency, current prices",Australia,1973,60359,
"National currency, current prices",Australia,1974,71237,
"National currency, current prices",Australia,1975,83317,
"National currency, current prices",Australia,1976,96177,
"National currency, current prices",Australia,1977,105025,
"National currency, current prices",Australia,1978,118716,
"National currency, current prices",Australia,1979,134587,
"National currency, current prices",Australia,1980,152351,
"National currency, current prices",Australia,1981,175865,
"National currency, current prices",Australia,1982,189398,
"National currency, current prices",Australia,1983,213766,
"National currency, current prices",Australia,1984,235385,
"National currency, current prices",Australia,1985,260909,
"National currency, current prices",Australia,1986,286703,
"National currency, current prices",Australia,1987,325629,
"National currency, current prices",Australia,1988,369512,
"National currency, current prices",Australia,1989,404656,
"National currency, current prices",Australia,1990,414824,
"National currency, current prices",Australia,1991,423104,
"National currency, current prices",Australia,1992,443989,
"National currency, current prices",Australia,1993,466652,
"National currency, current prices",Australia,1994,495922,
"National currency, current prices",Australia,1995,529282,
"National currency, current prices",Australia,1996,556902,
"National currency, current prices",Australia,1997,589017,
"National currency, current prices",Australia,1998,620555,
"National currency, current prices",Australia,1999,661136,
"National currency, current prices",Australia,2000,705562,
"National currency, current prices",Australia,2001,753858,
"National currency, current prices",Australia,2002,801261,
"National currency, current prices",Australia,2003,861982,
"National currency, current prices",Australia,2004,922710,
"National currency, current prices",Australia,2005,998312,
"National currency, current prices",Australia,2006,1087555,
"National currency, current prices",Australia,2007,1178952,
"National currency, current prices",Australia,2008,1258654,
"National currency, current prices",Australia,2009,1296324,
"National currency, current prices",Australia,2010,1406671,
"National currency, current prices",Australia,2011,1486071,
"National currency, current prices",Australia,2012,1521163,
"National currency, current prices",Australia,2013,1575896,
"National currency, current prices",Australia,1970,3187.91,
"National currency, current prices",Australia,1971,3374.808,
"National currency, current prices",Australia,1972,3714.589,
"National currency, current prices",Australia,1973,4433.486,
"National currency, current prices",Australia,1974,5150.167,
"National currency, current prices",Australia,1975,5964.472,
"National currency, current prices",Australia,1976,6816.178,
"National currency, current prices",Australia,1977,7353.902,
"National currency, current prices",Australia,1978,8226.554,
"National currency, current prices",Australia,1979,9216.721,
"National currency, current prices",Australia,1980,10288.863,
"National currency, current prices",Australia,1981,11682.186,
"National currency, current prices",Australia,1982,12387.949,
"National currency, current prices",Australia,1983,13806.055,
"National currency, current prices",Australia,1984,15014.401,
"National currency, current prices",Australia,1985,16408.787,
"National currency, current prices",Australia,1986,17764.862,
"National currency, current prices",Australia,1987,19861.917,
"National currency, current prices",Australia,1988,22143.596,
"National currency, current prices",Australia,1989,23892.225,
"National currency, current prices",Australia,1990,24160.14,
"National currency, current prices",Australia,1991,24334.471,
"National currency, current prices",Australia,1992,25253.503,
"National currency, current prices",Australia,1993,26279.693,
"National currency, current prices",Australia,1994,27630.271,
"National currency, current prices",Australia,1995,29092.668,
"National currency, current prices",Australia,1996,30237.873,
"National currency, current prices",Australia,1997,31656.754,
"National currency, current prices",Australia,1998,32987.857,
"National currency, current prices",Australia,1999,34731.335,
"National currency, current prices",Australia,2000,36614.456,
"National currency, current prices",Australia,2001,38597.281,
"National currency, current prices",Australia,2002,40532.329,
"National currency, current prices",Australia,2003,43078.771,
"National currency, current prices",Australia,2004,45566.578,
"National currency, current prices",Australia,2005,48599.336,
"National currency, current prices",Australia,2006,52107.736,
"National currency, current prices",Australia,2007,55451.747,
"National currency, current prices",Australia,2008,57927.34,
"National currency, current prices",Australia,2009,58581.071,
"National currency, current prices",Australia,2010,62722.811,
"National currency, current prices",Australia,2011,65289.654,
"National currency, current prices",Australia,2012,65770.636,
"National currency, current prices",Australia,2013,66938.228,
"National currency, current prices",Australia,1970,3.987,
"National currency, current prices",Australia,1971,4.314,
"National currency, current prices",Australia,1972,4.756,
"National currency, current prices",Australia,1973,5.613,
"National currency, current prices",Australia,1974,6.563,
"National currency, current prices",Australia,1975,7.708,
"National currency, current prices",Australia,1976,8.83,
"National currency, current prices",Australia,1977,9.506,
"National currency, current prices",Australia,1978,10.737,
"National currency, current prices",Australia,1979,11.826,
"National currency, current prices",Australia,1980,13.118,
"National currency, current prices",Australia,1981,15.064,
"National currency, current prices",Australia,1982,16.802,
"National currency, current prices",Australia,1983,18.577,
"National currency, current prices",Australia,1984,19.985,
"National currency, current prices",Australia,1985,21.127,
"National currency, current prices",Australia,1986,22.654,
"National currency, current prices",Australia,1987,24.865,
"National currency, current prices",Australia,1988,27.089,
"National currency, current prices",Australia,1989,28.708,
"National currency, current prices",Australia,1990,30.036,
"National currency, current prices",Australia,1991,31.077,
"National currency, current prices",Australia,1992,32.664,
"National currency, current prices",Australia,1993,33.537,
"National currency, current prices",Australia,1994,34.199,
"National currency, current prices",Australia,1995,35.641,
"National currency, current prices",Australia,1996,37.355,
"National currency, current prices",Australia,1997,39.121,
"National currency, current prices",Australia,1998,40.757,
"National currency, current prices",Australia,1999,41.983,
"National currency, current prices",Australia,2000,44.703,
"National currency, current prices",Australia,2001,47.801,
"National currency, current prices",Australia,2002,49.46,
"National currency, current prices",Australia,2003,52.215,
"National currency, current prices",Australia,2004,54.746,
"National currency, current prices",Australia,2005,57.982,
"National currency, current prices",Australia,2006,61.42,
"National currency, current prices",Australia,2007,64.62,
"National currency, current prices",Australia,2008,68.179,
"National currency, current prices",Australia,2009,70.381,
"National currency, current prices",Australia,2010,74.519,
"National currency, current prices",Australia,2011,77.513,
"National currency, current prices",Australia,2012,79.495,
"National currency, current prices",Australia,2013,81.776,
"USD, current prices, current PPPs",Australia,1970,58800.75,
"USD, current prices, current PPPs",Australia,1971,64049.179,
"USD, current prices, current PPPs",Australia,1972,69753.695,
"USD, current prices, current PPPs",Australia,1973,78801.594,
"USD, current prices, current PPPs",Australia,1974,86229.224,
"USD, current prices, current PPPs",Australia,1975,96597.588,
"USD, current prices, current PPPs",Australia,1976,104121.83,
"USD, current prices, current PPPs",Australia,1977,110080.542,
"USD, current prices, current PPPs",Australia,1978,123084.945,
"USD, current prices, current PPPs",Australia,1979,137722.901,
"USD, current prices, current PPPs",Australia,1980,154730.357,
"USD, current prices, current PPPs",Australia,1981,177682.993,
"USD, current prices, current PPPs",Australia,1982,181435.568,
"USD, current prices, current PPPs",Australia,1983,196150.038,
"USD, current prices, current PPPs",Australia,1984,211074.042,
"USD, current prices, current PPPs",Australia,1985,229720.019,
"USD, current prices, current PPPs",Australia,1986,238641.639,
"USD, current prices, current PPPs",Australia,1987,259435.316,
"USD, current prices, current PPPs",Australia,1988,282350.199,
"USD, current prices, current PPPs",Australia,1989,297918.054,
"USD, current prices, current PPPs",Australia,1990,304703.416,
"USD, current prices, current PPPs",Australia,1991,313880.535,
"USD, current prices, current PPPs",Australia,1992,335336.779,
"USD, current prices, current PPPs",Australia,1993,356992.176,
"USD, current prices, current PPPs",Australia,1994,381062.65,
"USD, current prices, current PPPs",Australia,1995,405929.976,
"USD, current prices, current PPPs",Australia,1996,425351.257,
"USD, current prices, current PPPs",Australia,1997,448643.326,
"USD, current prices, current PPPs",Australia,1998,478967.657,
"USD, current prices, current PPPs",Australia,1999,509762.134,
"USD, current prices, current PPPs",Australia,2000,538379.281,
"USD, current prices, current PPPs",Australia,2001,569266.87,
"USD, current prices, current PPPs",Australia,2002,599526.437,
"USD, current prices, current PPPs",Australia,2003,637705.809,
"USD, current prices, current PPPs",Australia,2004,674958.041,
"USD, current prices, current PPPs",Australia,2005,719060.639,
"USD, current prices, current PPPs",Australia,2006,773054.265,
"USD, current prices, current PPPs",Australia,2007,826248.661,
"USD, current prices, current PPPs",Australia,2008,850975.066,
